Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
10	0.005055	0.006074	0.010170	0.002904	0.082623	0.039773	0.013690	0.012660	-78720.140
20	0.005446	0.007479	0.011520	0.008370	0.098638	0.049443	0.016085	0.013305	-79022.835
30	0.003464	0.013448	0.017085	0.011157	0.080287	0.044085	0.015628	0.011820	-79199.340
40	0.005873	0.016551	0.015367	0.014192	0.097869	0.043760	0.017076	0.009921	-78904.690
50	0.003990	0.010773	0.014263	0.007883	0.084560	0.047579	0.013915	0.012691	-78845.705
60	0.006207	0.008809	0.012482	0.004823	0.068229	0.042557	0.012045	0.010986	-78462.493
70	0.007983	0.013396	0.010442	0.034454	0.080956	0.030934	0.013837	0.003313	-79166.869
80	0.019885	0.018319	0.008520	0.010213	0.089427	0.034046	0.021636	0.009621	-78627.015
90	0.015622	0.007736	0.006447	0.001824	0.058257	0.025159	0.015988	0.015389	-78573.229
100	0.016455	0.003906	0.004296	0.001650	0.056777	0.033377	0.016215	0.015607	-78827.382
110	0.011224	0.002187	0.004148	0.001984	0.068140	0.041758	0.018612	0.017097	-78962.411
120	0.021749	0.002344	0.006670	0.001991	0.084692	0.061729	0.024580	0.019738	-79392.418
130	0.023723	0.007500	0.004576	0.002609	0.096553	0.062319	0.031940	0.021317	-79152.486
140	0.017068	0.004860	0.002239	0.001769	0.061119	0.036431	0.020218	0.013154	-79163.409
150	0.016138	0.003507	0.002635	0.001563	0.080006	0.048220	0.023801	0.018516	-78911.032
160	0.016763	0.002743	0.002923	0.002107	0.084764	0.052148	0.026402	0.016896	-78564.169
170	0.006783	0.003879	0.001851	0.001765	0.075842	0.034998	0.021420	0.013277	-79063.234
180	0.004147	0.008382	0.003854	0.002704	0.080575	0.039940	0.022231	0.012812	-79103.880
190	0.002577	0.003829	0.005131	0.004279	0.076809	0.044569	0.017336	0.011795	-79247.428
200	0.002343	0.002980	0.007079	0.003808	0.081416	0.040831	0.017436	0.011863	-79032.203
210	0.002722	0.004590	0.004952	0.003850	0.090076	0.050272	0.020446	0.016453	-78696.336
220	0.002012	0.002712	0.009229	0.004208	0.100433	0.049144	0.020064	0.013871	-79004.616
230	0.002957	0.008015	0.004298	0.002892	0.090923	0.033825	0.016515	0.011707	-79568.318
240	0.006398	0.010033	0.004229	0.004245	0.119984	0.043300	0.020826	0.016374	-78698.551
250	0.004975	0.004043	0.006653	0.004946	0.073971	0.031821	0.014014	0.005170	-78970.261
260	0.004258	0.003762	0.002110	0.005328	0.080675	0.040133	0.027508	0.017289	-78947.253
270	0.003323	0.007823	0.003323	0.006998	0.103277	0.040407	0.028606	0.022690	-79108.240
280	0.003955	0.004648	0.002138	0.007334	0.082358	0.039026	0.025338	0.017147	-79249.469
290	0.002729	0.003896	0.005347	0.005885	0.080822	0.046638	0.017481	0.012945	-79319.807
300	0.003479	0.008782	0.006090	0.004293	0.093365	0.039655	0.020830	0.015426	-78416.766
310	0.007085	0.014455	0.005801	0.008339	0.090247	0.036679	0.022453	0.013014	-78890.130
320	0.004135	0.007180	0.002375	0.005582	0.093036	0.038428	0.023201	0.015619	-79015.957
330	0.008783	0.006322	0.002903	0.014860	0.073660	0.040022	0.019581	0.010908	-79312.414
340	0.005810	0.004049	0.004106	0.010698	0.068336	0.037321	0.017445	0.014069	-78745.684
350	0.003984	0.002583	0.003647	0.008820	0.074029	0.042708	0.022902	0.014186	-78986.037
360	0.005015	0.003474	0.004558	0.002933	0.093536	0.040146	0.019977	0.013805	-79126.675
370	0.003673	0.004306	0.004031	0.005170	0.115078	0.051181	0.025780	0.020051	-79388.777
380	0.003073	0.003922	0.003655	0.002799	0.092960	0.033643	0.019284	0.014957	-78972.545
390	0.008885	0.005886	0.004742	0.002312	0.091305	0.040552	0.019135	0.017825	-79151.460
400	0.004595	0.007158	0.008889	0.005156	0.083593	0.036573	0.017369	0.009269	-79001.286
410	0.005825	0.005249	0.007867	0.010805	0.082805	0.036575	0.016451	0.006083	-79089.134
420	0.002574	0.003317	0.005236	0.006473	0.071983	0.032894	0.017502	0.011667	-78803.803
430	0.003133	0.007964	0.004742	0.003528	0.081837	0.038296	0.020377	0.013583	-79151.825
440	0.002791	0.006151	0.004489	0.005057	0.085185	0.041740	0.019291	0.012859	-78704.062
450	0.002482	0.007858	0.004122	0.003084	0.094733	0.030987	0.020370	0.013150	-78892.024
460	0.002163	0.010299	0.003808	0.003801	0.083999	0.025943	0.019109	0.012062	-78716.114
470	0.003168	0.016892	0.003800	0.007116	0.086818	0.033743	0.027635	0.013891	-78748.726
480	0.002114	0.038025	0.003645	0.003781	0.084190	0.025861	0.021729	0.014313	-78503.283
490	0.001300	0.042559	0.002863	0.002823	0.090323	0.026319	0.024342	0.019853	-79076.142
500	0.001344	0.023753	0.005187	0.002749	0.080770	0.026743	0.023073	0.019336	-78713.963
510	0.001805	0.018266	0.002467	0.004649	0.097634	0.030213	0.028149	0.019416	-79316.227
520	0.002532	0.017878	0.002520	0.005040	0.095347	0.028659	0.025995	0.015832	-79156.412
530	0.002260	0.015563	0.001620	0.009341	0.092109	0.028395	0.025544	0.015889	-79072.574
540	0.001933	0.008303	0.001435	0.005998	0.082403	0.026991	0.024829	0.018453	-79312.760
550	0.002631	0.006595	0.001622	0.012052	0.095338	0.034220	0.032336	0.018980	-78902.913
560	0.002379	0.008169	0.001484	0.014439	0.087043	0.031122	0.029280	0.016753	-79111.874
570	0.002798	0.012765	0.001339	0.002536	0.090698	0.025012	0.022829	0.017818	-78747.483
580	0.004101	0.014222	0.001631	0.002580	0.103520	0.029882	0.026099	0.018377	-78937.919
590	0.002510	0.010052	0.003290	0.008690	0.097752	0.031507	0.021223	0.011720	-78955.378
600	0.002314	0.004825	0.004616	0.006375	0.098201	0.038332	0.021642	0.011608	-79564.881
610	0.002709	0.004838	0.002158	0.005261	0.082444	0.032024	0.023275	0.015941	-78918.045
620	0.004923	0.003113	0.003168	0.005373	0.077155	0.028950	0.019619	0.015132	-79023.361
630	0.003633	0.002954	0.002922	0.003074	0.092876	0.031553	0.021383	0.016125	-78950.698
640	0.003663	0.006749	0.001208	0.004075	0.102809	0.024615	0.019608	0.013643	-79305.986
650	0.004544	0.005306	0.001491	0.002647	0.078912	0.030394	0.024211	0.016659	-78770.937
660	0.002930	0.005075	0.001454	0.002237	0.088659	0.029633	0.023605	0.019463	-78730.322
670	0.003184	0.009548	0.001504	0.003514	0.098792	0.032691	0.026041	0.016632	-78911.280
680	0.003283	0.007408	0.002061	0.004360	0.085635	0.037228	0.023539	0.013751	-78960.891
690	0.003382	0.004675	0.003871	0.001873	0.068018	0.037118	0.018918	0.015365	-79146.150
700	0.003345	0.004927	0.003767	0.002222	0.098371	0.047569	0.024197	0.016946	-79331.035
710	0.008627	0.007039	0.002338	0.003126	0.077852	0.032798	0.018227	0.014102	-78591.916
720	0.007900	0.006508	0.002250	0.005585	0.073319	0.034149	0.016553	0.011051	-78770.196
730	0.006295	0.014003	0.003483	0.004957	0.078471	0.036003	0.018606	0.012422	-79168.352
740	0.003055	0.019672	0.002487	0.003436	0.071909	0.026269	0.017802	0.014446	-78629.980
750	0.003272	0.016211	0.006666	0.004722	0.076970	0.036216	0.020051	0.015268	-79054.880
760	0.006354	0.025345	0.005755	0.010955	0.084990	0.038248	0.027873	0.012902	-79102.226
770	0.004899	0.015284	0.005983	0.006216	0.067123	0.029382	0.020910	0.015067	-78822.778
780	0.005716	0.026016	0.003375	0.005901	0.084864	0.031126	0.024726	0.016527	-79240.777
790	0.006464	0.007521	0.005484	0.006483	0.071380	0.031016	0.016053	0.009848	-78702.614
800	0.006107	0.003150	0.002477	0.004509	0.080389	0.030779	0.016976	0.011447	-78879.633
810	0.011857	0.001512	0.002681	0.005305	0.091375	0.036590	0.018374	0.013286	-79005.467
820	0.009022	0.003268	0.001948	0.005488	0.077054	0.031768	0.021591	0.008616	-78519.897
830	0.004415	0.002753	0.001936	0.004567	0.076485	0.029517	0.019289	0.008337	-78858.256
840	0.005177	0.005720	0.005876	0.003288	0.086058	0.027402	0.020390	0.011631	-78949.537
850	0.003064	0.004442	0.005439	0.002237	0.086373	0.033164	0.020021	0.016107	-78371.248
860	0.003508	0.004089	0.005590	0.002153	0.121505	0.039958	0.018965	0.012420	-78869.909
870	0.003249	0.004138	0.003035	0.002730	0.087352	0.031279	0.016746	0.009897	-78767.810
880	0.002793	0.002675	0.003023	0.012576	0.107055	0.047608	0.025439	0.012698	-78995.030
890	0.001731	0.003065	0.001977	0.003477	0.103444	0.039286	0.026535	0.018973	-78876.387
900	0.001564	0.002127	0.001871	0.004405	0.100590	0.039837	0.025107	0.019815	-78560.200
910	0.001555	0.001816	0.003580	0.003421	0.120795	0.049586	0.028053	0.020854	-78899.330
920	0.001272	0.001204	0.003307	0.003141	0.088620	0.037963	0.022626	0.019108	-78858.820
930	0.001327	0.001191	0.003777	0.002654	0.102446	0.038687	0.026526	0.024787	-79083.081
940	0.001393	0.001358	0.005028	0.003413	0.105465	0.045377	0.027607	0.024835	-78974.921
950	0.000963	0.001707	0.003833	0.002436	0.098723	0.033857	0.023563	0.020011	-79101.456
960	0.001795	0.002394	0.002560	0.003417	0.115913	0.047485	0.033047	0.028066	-79310.151
970	0.000903	0.001514	0.002388	0.004764	0.106354	0.045133	0.030822	0.017389	-79075.502
980	0.001351	0.001277	0.003343	0.006999	0.086327	0.037988	0.021526	0.010580	-78874.572
990	0.001990	0.001512	0.003572	0.009174	0.092182	0.036030	0.022628	0.013396	-78360.321
1000	0.001114	0.001250	0.002294	0.004647	0.097956	0.037862	0.025717	0.020664	-79295.701
1010	0.001349	0.001745	0.002161	0.003696	0.110873	0.041591	0.024258	0.016915	-79378.215
1020	0.001109	0.001197	0.001425	0.002335	0.080670	0.036390	0.020630	0.011627	-78613.631
1030	0.001473	0.002214	0.002120	0.002476	0.097616	0.049010	0.023404	0.017235	-78989.619
1040	0.002103	0.002526	0.002025	0.013390	0.096326	0.042828	0.022352	0.007993	-78586.712
1050	0.001861	0.002819	0.001729	0.003592	0.093628	0.040737	0.022171	0.015390	-79454.230
1060	0.001712	0.001759	0.004171	0.005334	0.094796	0.052408	0.020204	0.010363	-79317.008
1070	0.001273	0.003499	0.002441	0.004325	0.090731	0.039379	0.016650	0.007689	-79069.986
1080	0.001882	0.001344	0.001951	0.002336	0.103275	0.046881	0.020805	0.014106	-78750.849
1090	0.001456	0.001556	0.001885	0.005040	0.089073	0.040551	0.020304	0.010588	-78925.671
1100	0.001646	0.001204	0.001187	0.002810	0.103625	0.057019	0.029809	0.019552	-78833.528
1110	0.001301	0.001383	0.001270	0.002237	0.092196	0.043256	0.024774	0.015506	-78851.181
1120	0.002073	0.001906	0.004480	0.001705	0.120291	0.059525	0.029167	0.023815	-78890.572
1130	0.001144	0.003092	0.002551	0.003087	0.103624	0.043033	0.025963	0.016781	-78724.794
1140	0.002043	0.005902	0.003560	0.004371	0.120111	0.042608	0.025714	0.014481	-79055.409
1150	0.001889	0.002972	0.003380	0.001676	0.089119	0.030492	0.020854	0.017432	-79119.582
1160	0.001882	0.002121	0.005309	0.002860	0.111175	0.041445	0.023824	0.013329	-78653.953
1170	0.001872	0.002020	0.004073	0.003171	0.103065	0.039469	0.018840	0.010903	-79029.557
1180	0.002783	0.001560	0.004146	0.001974	0.098148	0.041830	0.021173	0.017683	-78507.669
1190	0.002788	0.001437	0.007294	0.002271	0.087203	0.035373	0.018412	0.014997	-79034.269
1200	0.002014	0.001294	0.005493	0.002552	0.100563	0.037225	0.018404	0.014991	-79037.550
1210	0.003720	0.001477	0.006221	0.003371	0.102024	0.039329	0.018581	0.013440	-78739.974
1220	0.005284	0.001431	0.004389	0.003162	0.096820	0.036335	0.017211	0.012449	-79347.698
1230	0.007163	0.004612	0.002332	0.003534	0.114741	0.049611	0.029719	0.020253	-78480.189
1240	0.009692	0.004339	0.003984	0.004230	0.084230	0.043398	0.026266	0.018607	-78888.434
1250	0.013886	0.004238	0.003092	0.004683	0.086014	0.040205	0.024004	0.015106	-78844.651
1260	0.010341	0.005649	0.003191	0.001684	0.093415	0.037718	0.024771	0.016316	-78902.962
1270	0.009923	0.004429	0.002137	0.001765	0.094552	0.043737	0.025662	0.017677	-78838.458
1280	0.004952	0.005330	0.001267	0.002680	0.096989	0.043014	0.028244	0.014099	-79060.930
1290	0.005578	0.002871	0.004003	0.002860	0.082655	0.053261	0.024681	0.012962	-79249.167
1300	0.005174	0.002479	0.003931	0.005736	0.083075	0.037937	0.022379	0.011966	-79315.192
1310	0.004283	0.002010	0.004571	0.003771	0.067967	0.041719	0.020515	0.014821	-79276.526
1320	0.002026	0.001854	0.001312	0.003532	0.070289	0.042296	0.022385	0.014552	-78893.479
1330	0.002720	0.003665	0.002927	0.004296	0.096857	0.045735	0.024893	0.012396	-78754.570
1340	0.001953	0.006973	0.003594	0.010243	0.093683	0.033871	0.021718	0.004952	-78667.737
1350	0.003155	0.004858	0.002340	0.003677	0.089250	0.033020	0.022313	0.011704	-78801.226
1360	0.004128	0.004313	0.004512	0.002290	0.076930	0.031248	0.018890	0.014313	-78685.750
1370	0.002599	0.003391	0.003196	0.003797	0.076874	0.041764	0.018004	0.011157	-78875.900
1380	0.002262	0.002610	0.003245	0.002941	0.084500	0.046215	0.018284	0.014858	-79082.441
1390	0.002740	0.003308	0.003829	0.002157	0.115543	0.054774	0.023232	0.021785	-78994.581
1400	0.003019	0.003029	0.002990	0.001094	0.095358	0.039148	0.018142	0.017012	-79094.637
1410	0.004335	0.003884	0.002533	0.001484	0.094699	0.039683	0.019924	0.018683	-79017.482
1420	0.004000	0.002771	0.002006	0.001176	0.081098	0.036565	0.015781	0.014799	-79330.237
1430	0.006886	0.001743	0.002756	0.001626	0.088751	0.041154	0.021760	0.018166	-78485.909
1440	0.004177	0.001759	0.003239	0.001513	0.090589	0.045950	0.021459	0.018984	-79206.241
1450	0.004801	0.001716	0.005497	0.001881	0.098430	0.061716	0.025543	0.021911	-78760.754
1460	0.003239	0.001214	0.001767	0.003286	0.069435	0.039416	0.026092	0.013866	-79240.388
1470	0.003241	0.003342	0.002796	0.002165	0.072587	0.032750	0.022387	0.014296	-79077.933
1480	0.004024	0.005692	0.003424	0.001940	0.096617	0.038303	0.030348	0.018658	-79345.765
1490	0.003710	0.007553	0.004522	0.001274	0.086672	0.032939	0.021782	0.014700	-78945.856
1500	0.004677	0.003037	0.004003	0.001110	0.081299	0.050361	0.023416	0.016677	-79544.168
1510	0.003138	0.006518	0.003857	0.001627	0.080861	0.045886	0.026824	0.018151	-79291.543
1520	0.001241	0.010123	0.003240	0.002604	0.082439	0.029854	0.021301	0.013364	-78832.176
1530	0.002814	0.011862	0.002695	0.002742	0.108404	0.037779	0.027230	0.012521	-78855.786
1540	0.003038	0.007832	0.002108	0.003733	0.083637	0.033180	0.023915	0.009872	-78997.199
1550	0.002952	0.006678	0.002012	0.002582	0.075690	0.026852	0.019647	0.010098	-79272.683
1560	0.002468	0.007360	0.003933	0.002374	0.096708	0.034932	0.023815	0.016137	-78640.475
1570	0.003321	0.002851	0.003972	0.003751	0.096239	0.037782	0.027277	0.016071	-78892.273
1580	0.005190	0.002776	0.007320	0.002414	0.088463	0.037202	0.023956	0.017567	-79127.830
1590	0.004587	0.003984	0.004562	0.003240	0.095142	0.033800	0.022328	0.016889	-79050.437
1600	0.005544	0.005247	0.002031	0.002989	0.105759	0.037180	0.029799	0.015634	-79063.374
1610	0.003517	0.003167	0.004160	0.002310	0.096154	0.032660	0.018453	0.014090	-79177.325
