Gen	theta_6PmunDintDcelDludDgol	theta_7DintDcelDludDgol	theta_8DcelDludDgol	theta_9DludDgol	tau_6PmunDintDcelDludDgol	tau_7DintDcelDludDgol	tau_8DcelDludDgol	tau_9DludDgol	lnL
10	0.005217	0.004625	0.005282	0.003281	0.005911	0.004440	0.004195	0.003416	-106644.574
20	0.004508	0.003611	0.001611	0.002825	0.004099	0.003079	0.002961	0.001496	-110437.195
30	0.003093	0.002754	0.003588	0.004387	0.004053	0.003076	0.002929	0.000842	-113546.743
40	0.004598	0.003182	0.004465	0.003027	0.006024	0.004692	0.004297	0.002245	-107252.144
50	0.002008	0.001598	0.007958	0.003114	0.004016	0.003590	0.002618	0.001224	-110183.061
60	0.003339	0.005465	0.003114	0.004612	0.006678	0.004955	0.004392	0.003131	-108079.610
70	0.002568	0.002261	0.002863	0.003452	0.005136	0.004429	0.003514	0.002475	-105691.832
80	0.004233	0.002321	0.001341	0.002554	0.005297	0.004489	0.004283	0.002984	-104899.888
90	0.006566	0.008847	0.002494	0.003563	0.007465	0.006701	0.006396	0.004285	-111268.953
100	0.007736	0.004454	0.003098	0.002789	0.008795	0.008277	0.007345	0.004767	-106272.081
110	0.003345	0.002602	0.001783	0.002627	0.005586	0.005444	0.004918	0.002042	-108872.434
120	0.002632	0.006325	0.003196	0.006067	0.004395	0.004137	0.003739	0.000595	-111952.761
130	0.003425	0.011303	0.002432	0.007720	0.005721	0.005604	0.004492	0.003554	-107275.107
140	0.002086	0.008875	0.002167	0.005619	0.003701	0.003242	0.002912	0.001510	-105882.787
150	0.002760	0.005666	0.003912	0.035379	0.004897	0.004337	0.003602	0.000282	-109306.067
160	0.003547	0.016536	0.002747	0.004886	0.006294	0.005024	0.004542	0.000978	-106130.507
170	0.002228	0.007736	0.003315	0.002090	0.003953	0.003069	0.002287	0.000985	-112705.114
180	0.003548	0.013302	0.006951	0.006459	0.006294	0.004077	0.003064	0.000764	-107444.157
190	0.004389	0.005585	0.008068	0.002719	0.007788	0.006300	0.003909	0.002778	-107028.643
200	0.005509	0.011384	0.005145	0.007177	0.013596	0.009346	0.007694	0.004850	-102974.777
210	0.004509	0.007020	0.008792	0.001778	0.006986	0.005447	0.003527	0.002725	-107147.228
220	0.003288	0.003115	0.005335	0.007794	0.005034	0.004041	0.001982	0.000343	-108093.234
