Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
10	0.001361	0.003273	0.001918	0.003457	0.003858	0.003217	0.002440	0.002243	-107385.194
20	0.001786	0.003332	0.002826	0.008066	0.006193	0.005203	0.004000	0.003322	-108782.358
30	0.003217	0.005313	0.004000	0.027988	0.011158	0.009827	0.008896	0.004516	-100677.925
40	0.002052	0.003544	0.002589	0.020095	0.007115	0.006206	0.005528	0.003972	-103522.359
50	0.001206	0.002985	0.003318	0.018933	0.004184	0.003778	0.003041	0.001420	-108154.547
60	0.001504	0.007958	0.002662	0.020397	0.005216	0.004446	0.003752	0.003647	-102239.849
70	0.001206	0.003713	0.002162	0.016848	0.004237	0.003738	0.003048	0.002962	-108100.931
80	0.001702	0.003576	0.001813	0.020281	0.005982	0.005550	0.004303	0.004182	-104098.479
90	0.002457	0.001764	0.001551	0.026229	0.008633	0.007923	0.006210	0.005793	-105268.747
100	0.002462	0.003075	0.001810	0.036140	0.010810	0.009753	0.007814	0.007254	-103821.098
110	0.005927	0.006560	0.001718	0.046959	0.016774	0.014465	0.012677	0.011257	-97728.600
120	0.005323	0.002350	0.002217	0.056476	0.008154	0.007167	0.004543	0.002377	-106841.075
130	0.002977	0.003319	0.001983	0.031324	0.007592	0.005840	0.004275	0.003162	-101459.230
140	0.004562	0.002227	0.002476	0.042218	0.009478	0.007729	0.005337	0.004033	-104143.664
150	0.002597	0.002527	0.002017	0.040208	0.003851	0.002968	0.001437	0.000629	-106962.015
160	0.003182	0.001976	0.003081	0.024133	0.005882	0.004278	0.002195	0.002037	-108298.976
170	0.011155	0.003344	0.005510	0.040940	0.018255	0.013279	0.009096	0.007918	-98859.438
180	0.008261	0.001196	0.004092	0.016390	0.008497	0.006111	0.004047	0.003580	-110873.474
190	0.009950	0.001846	0.002726	0.022922	0.007367	0.004838	0.003853	0.002838	-107879.843
200	0.006417	0.001234	0.004522	0.023817	0.006472	0.004493	0.003475	0.001967	-106517.439
210	0.007206	0.000977	0.003799	0.010766	0.006236	0.004329	0.003974	0.002753	-111587.352
220	0.010078	0.001275	0.003648	0.004723	0.008211	0.005700	0.005376	0.004606	-102377.257
230	0.012048	0.002081	0.015475	0.005480	0.011203	0.007392	0.006273	0.006158	-102728.879
240	0.014263	0.001521	0.011127	0.001170	0.010198	0.006826	0.005710	0.005606	-103530.805
250	0.007785	0.000943	0.004757	0.001425	0.006759	0.004564	0.003826	0.003611	-111603.396
260	0.008809	0.001004	0.002666	0.004298	0.008011	0.005708	0.004796	0.004411	-105587.339
270	0.016802	0.003912	0.006450	0.019923	0.018785	0.013951	0.011956	0.010905	-101112.856
280	0.007551	0.001122	0.001656	0.010370	0.005986	0.004483	0.003992	0.003510	-102629.655
290	0.008778	0.001137	0.004653	0.010135	0.005214	0.003715	0.002367	0.001983	-107953.741
300	0.014270	0.001858	0.003978	0.011964	0.006503	0.004362	0.003327	0.002650	-101206.510
310	0.021474	0.002968	0.006756	0.003380	0.010389	0.006969	0.005862	0.004870	-100216.704
320	0.013891	0.002683	0.005295	0.004489	0.008595	0.005824	0.005416	0.005060	-106264.427
330	0.020206	0.004381	0.007669	0.001931	0.010331	0.007000	0.006274	0.006082	-105193.497
340	0.008086	0.002311	0.001969	0.002571	0.004266	0.002891	0.002663	0.002511	-108934.605
