Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
10	0.135053	0.040303	0.020530	0.003786	0.008849	0.002383	0.003458	0.038594	0.013755	0.003384	0.002113	0.001930	0.000898	0.938020	-75735.271
20	0.144716	0.050532	0.025566	0.001848	0.003074	0.006623	0.003551	0.038864	0.014050	0.003407	0.002821	0.003390	0.001514	0.948685	-75716.370
30	0.137659	0.032873	0.025761	0.003211	0.003304	0.002980	0.009717	0.039161	0.013988	0.003433	0.002327	0.003381	0.000704	0.870310	-75719.738
40	0.148719	0.046119	0.019653	0.002648	0.008223	0.001474	0.003820	0.042484	0.015175	0.003725	0.003189	0.003388	0.000419	0.975302	-75626.623
50	0.118993	0.040863	0.019279	0.002593	0.001892	0.002976	0.002954	0.041676	0.014886	0.003654	0.002959	0.003449	0.001338	0.868734	-75711.508
60	0.110689	0.038062	0.018626	0.005796	0.002719	0.006317	0.001624	0.044399	0.015859	0.003893	0.002132	0.003198	0.000715	0.874219	-75760.689
70	0.108559	0.036934	0.026277	0.009017	0.007149	0.002981	0.001830	0.045558	0.016273	0.003994	0.002057	0.001904	0.000667	0.937260	-75701.963
80	0.093118	0.027316	0.023939	0.002782	0.001847	0.001305	0.006046	0.040032	0.014299	0.003510	0.002567	0.001834	0.001177	0.918420	-75722.278
90	0.152259	0.039025	0.019019	0.010783	0.005682	0.004239	0.003049	0.050039	0.016090	0.004387	0.002051	0.001751	0.000657	0.976076	-75737.474
100	0.080118	0.044049	0.019712	0.004200	0.009823	0.003315	0.003160	0.056657	0.016677	0.004547	0.003532	0.003042	0.002467	0.921387	-75732.011
110	0.099575	0.031724	0.025166	0.003609	0.005300	0.008216	0.010635	0.056392	0.016599	0.004526	0.002947	0.002681	0.001075	0.975666	-75736.049
120	0.067582	0.048627	0.025513	0.003561	0.004700	0.003572	0.004547	0.057169	0.016827	0.004588	0.003152	0.002819	0.002753	0.972267	-75666.664
130	0.109663	0.049884	0.023561	0.004911	0.002957	0.005684	0.005750	0.061273	0.018035	0.004917	0.002808	0.003462	0.002551	0.913763	-75735.531
140	0.086188	0.030091	0.024487	0.007247	0.004994	0.004239	0.003729	0.050466	0.014854	0.004050	0.002297	0.002674	0.000808	0.986933	-75726.770
150	0.099311	0.045851	0.013804	0.005391	0.002682	0.003376	0.003370	0.050466	0.014854	0.003872	0.003081	0.003199	0.001439	0.986933	-75674.068
160	0.079903	0.049694	0.012860	0.002620	0.008329	0.004108	0.006974	0.047015	0.012452	0.003607	0.002834	0.003604	0.001732	0.986933	-75665.059
170	0.094788	0.038272	0.022346	0.002460	0.002269	0.004476	0.004262	0.054621	0.014941	0.004191	0.003088	0.003663	0.002903	0.916963	-75668.027
180	0.102144	0.036960	0.029663	0.004622	0.005375	0.003207	0.007573	0.060594	0.017490	0.004649	0.001913	0.004437	0.001295	0.912135	-75750.206
190	0.136397	0.036639	0.018107	0.004895	0.002225	0.007499	0.001147	0.054251	0.015659	0.004162	0.002694	0.003434	0.000806	0.964404	-75611.809
200	0.112525	0.060397	0.027879	0.002007	0.005946	0.002581	0.021660	0.050708	0.014100	0.003891	0.003012	0.003874	0.001940	0.929424	-75791.777
210	0.097290	0.029621	0.019214	0.002028	0.007543	0.002125	0.003017	0.048311	0.013749	0.003707	0.002731	0.001672	0.001014	0.784748	-75744.845
220	0.055611	0.054499	0.019396	0.001715	0.003420	0.006134	0.003045	0.048767	0.013005	0.003742	0.002613	0.003669	0.000624	0.831427	-75774.720
230	0.113420	0.039287	0.016752	0.002094	0.002254	0.005477	0.004565	0.053802	0.014348	0.004128	0.003143	0.002407	0.000389	0.977460	-75692.206
240	0.080581	0.054916	0.024725	0.004957	0.003052	0.001962	0.005926	0.045737	0.014252	0.003509	0.002170	0.002869	0.000795	0.977460	-75732.946
250	0.075092	0.051498	0.022359	0.006965	0.007588	0.004167	0.019202	0.056992	0.017759	0.004373	0.002631	0.003416	0.000461	0.850023	-75760.889
260	0.101447	0.031327	0.025612	0.006072	0.004506	0.003858	0.003471	0.045326	0.013246	0.003478	0.002037	0.001989	0.000847	0.983855	-75714.877
270	0.099669	0.039116	0.020570	0.005731	0.002984	0.004727	0.006516	0.045462	0.013285	0.003305	0.002084	0.002123	0.000695	0.973020	-75719.642
280	0.104072	0.041920	0.018405	0.002296	0.008934	0.001565	0.001499	0.042125	0.012310	0.003062	0.001832	0.001711	0.001573	0.911126	-75715.013
290	0.114293	0.043831	0.019915	0.002709	0.008490	0.011138	0.006228	0.045581	0.013461	0.003313	0.002314	0.002503	0.001310	0.840039	-75737.461
300	0.092944	0.043402	0.020891	0.002856	0.010041	0.003489	0.002041	0.047816	0.014121	0.003476	0.002786	0.002761	0.001631	0.529982	-75582.545
310	0.096359	0.038350	0.017433	0.003909	0.004443	0.006978	0.001264	0.049725	0.017451	0.003614	0.003156	0.003613	0.002141	0.799885	-75747.662
320	0.086534	0.035472	0.018162	0.008249	0.009584	0.002583	0.002945	0.052669	0.018484	0.003828	0.003333	0.003640	0.002396	0.652114	-75646.986
330	0.067001	0.026857	0.016104	0.007144	0.003537	0.005647	0.009837	0.046701	0.016390	0.003395	0.003217	0.003335	0.002904	0.827052	-75681.481
340	0.121886	0.039644	0.014405	0.004735	0.003305	0.001070	0.004322	0.048234	0.016928	0.003506	0.003106	0.003441	0.001748	0.958454	-75737.884
350	0.094175	0.033895	0.023678	0.004369	0.006308	0.008475	0.000902	0.050711	0.017797	0.003686	0.003406	0.002584	0.002016	0.942953	-75637.306
360	0.085695	0.026977	0.028040	0.004736	0.004160	0.013045	0.005244	0.060053	0.021076	0.004365	0.003290	0.004306	0.000672	0.910525	-75746.129
370	0.076478	0.033073	0.023348	0.003383	0.016959	0.002850	0.003279	0.053351	0.018724	0.003878	0.003161	0.003395	0.002209	0.750718	-75811.048
380	0.085555	0.027908	0.017145	0.004532	0.007224	0.005148	0.007963	0.049096	0.017230	0.003569	0.003008	0.003503	0.001301	0.836989	-75751.946
390	0.109638	0.028459	0.019279	0.005138	0.004354	0.003409	0.006691	0.050065	0.017571	0.003639	0.003460	0.002796	0.000432	0.781739	-75693.932
400	0.110509	0.032511	0.025044	0.005635	0.010893	0.004149	0.003918	0.048671	0.017081	0.003538	0.002018	0.001991	0.000335	0.684751	-75763.220
410	0.096632	0.046882	0.022166	0.005653	0.026072	0.004023	0.005889	0.055084	0.019332	0.004004	0.002473	0.001256	0.000460	0.376554	-75711.010
420	0.066622	0.035813	0.031216	0.006283	0.005492	0.004902	0.007248	0.052212	0.018324	0.003795	0.001875	0.003222	0.000287	0.807442	-75650.999
430	0.097873	0.028690	0.021816	0.001966	0.006195	0.004264	0.001552	0.056896	0.019968	0.004136	0.002190	0.004064	0.001374	0.550280	-75755.018
440	0.049623	0.050055	0.021753	0.001961	0.004845	0.009926	0.001548	0.056732	0.019911	0.004124	0.002184	0.003934	0.001777	0.324534	-75698.660
450	0.052086	0.029466	0.024910	0.002703	0.004460	0.003185	0.001487	0.054487	0.019123	0.003961	0.001641	0.003914	0.000964	0.416995	-75784.683
460	0.063728	0.030814	0.026083	0.001073	0.007971	0.002457	0.006707	0.057052	0.020023	0.004147	0.002591	0.003949	0.001370	0.605626	-75733.938
470	0.083205	0.032754	0.020082	0.003815	0.005299	0.005432	0.003789	0.060644	0.021283	0.004408	0.002538	0.004186	0.000298	0.788370	-75685.286
480	0.058652	0.035505	0.020482	0.003182	0.002223	0.002570	0.013310	0.061852	0.021707	0.004496	0.003038	0.004298	0.000667	0.840410	-75825.880
490	0.067460	0.031301	0.023769	0.004138	0.005379	0.003054	0.001495	0.064192	0.022529	0.004666	0.002625	0.004226	0.000176	0.870660	-75725.105
500	0.063331	0.038776	0.020797	0.003586	0.002364	0.002511	0.009384	0.056165	0.019711	0.004083	0.002487	0.002432	0.000186	0.963161	-75652.159
510	0.057940	0.027573	0.022636	0.003932	0.003575	0.002911	0.004339	0.049327	0.017312	0.003586	0.002540	0.001822	0.000127	0.979627	-75732.418
520	0.063671	0.026461	0.023489	0.004681	0.002227	0.006536	0.003848	0.051187	0.017964	0.003721	0.002314	0.003590	0.000132	0.979627	-75703.500
530	0.041425	0.035365	0.019000	0.004555	0.004078	0.003241	0.004204	0.055911	0.019622	0.004064	0.002054	0.003707	0.000453	0.954340	-75695.392
540	0.046573	0.027603	0.020690	0.012642	0.012140	0.006194	0.005528	0.060886	0.021368	0.004426	0.002237	0.003128	0.001697	0.789182	-75756.579
550	0.052396	0.052099	0.029789	0.003517	0.003653	0.002864	0.004128	0.059636	0.020930	0.004335	0.002707	0.004007	0.000462	0.732377	-75675.157
560	0.073444	0.042704	0.019180	0.004141	0.002489	0.003289	0.005302	0.059302	0.020813	0.004311	0.003005	0.003791	0.000722	0.973637	-75731.010
570	0.086229	0.036479	0.029481	0.004608	0.004992	0.002986	0.007259	0.057281	0.020103	0.004164	0.002757	0.002099	0.000385	0.856548	-75766.012
580	0.070120	0.035880	0.022288	0.004145	0.011370	0.001982	0.005061	0.043306	0.015198	0.003148	0.002057	0.002796	0.000133	0.946115	-75682.747
590	0.080840	0.037141	0.024559	0.008346	0.006528	0.002184	0.003324	0.047719	0.016747	0.003469	0.002016	0.002014	0.000146	0.981502	-75754.052
600	0.101650	0.026535	0.023290	0.006180	0.007309	0.003625	0.003571	0.056931	0.018546	0.003841	0.001684	0.003038	0.000251	0.981502	-75681.047
