Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
10	0.113012	0.016036	0.044331	0.002824	0.003733	0.002455	0.002872	0.003653	0.005892	0.029176	0.017399	0.004806	0.001967	0.000030	0.001238	0.000216	0.000030	0.755216	0.100973	-75419.943
20	0.157236	0.022822	0.034701	0.003979	0.002447	0.009374	0.002598	0.004063	0.004003	0.031198	0.018605	0.005139	0.001673	0.000032	0.001123	0.001062	0.000032	0.668424	0.002441	-75432.576
30	0.147965	0.019523	0.025970	0.002615	0.003027	0.007699	0.002575	0.002251	0.006146	0.031294	0.018662	0.005155	0.002526	0.000063	0.001054	0.000548	0.000063	0.458247	0.085976	-75499.060
40	0.134254	0.040830	0.023423	0.003304	0.003930	0.003852	0.003937	0.001564	0.003386	0.028225	0.016832	0.004649	0.001816	0.000061	0.001515	0.000880	0.000061	0.489598	0.032225	-75427.015
50	0.117259	0.040375	0.064778	0.002436	0.004382	0.005168	0.002461	0.001669	0.003956	0.032979	0.017151	0.005432	0.002873	0.000092	0.002802	0.001272	0.000092	0.416262	0.088567	-75416.276
60	0.112167	0.033981	0.051129	0.002352	0.004079	0.004037	0.003713	0.004626	0.009469	0.031848	0.016562	0.005246	0.002775	0.000701	0.002249	0.000787	0.000701	0.426730	0.008495	-75424.223
70	0.145965	0.021384	0.029283	0.002849	0.013199	0.004553	0.007603	0.002307	0.003021	0.035258	0.018336	0.005958	0.002959	0.001999	0.002702	0.001284	0.001999	0.470275	0.008495	-75405.034
80	0.130840	0.029852	0.026153	0.001805	0.002098	0.002259	0.002530	0.001813	0.005686	0.032547	0.016926	0.005500	0.003160	0.002596	0.003473	0.001018	0.002596	0.436290	0.008495	-75408.645
90	0.148213	0.029470	0.021323	0.001370	0.008151	0.004192	0.001936	0.003070	0.016693	0.035728	0.018580	0.006038	0.003823	0.001948	0.003330	0.001603	0.001948	0.608821	0.008495	-75430.977
100	0.160984	0.023811	0.042280	0.001775	0.010283	0.003602	0.005153	0.002633	0.008023	0.035728	0.018580	0.006038	0.003355	0.003002	0.003579	0.000819	0.003002	0.602193	0.008495	-75385.300
110	0.201286	0.022898	0.030482	0.002209	0.006503	0.002924	0.013156	0.002792	0.005347	0.037885	0.019702	0.006402	0.003230	0.001061	0.004330	0.002211	0.001061	0.596565	0.008495	-75443.619
120	0.150108	0.026342	0.036014	0.004077	0.001369	0.003861	0.002701	0.002553	0.002810	0.033013	0.020828	0.005598	0.001995	0.001578	0.001931	0.001464	0.001578	0.626984	0.008495	-75431.941
130	0.118084	0.019007	0.023888	0.003436	0.004118	0.003665	0.005999	0.002616	0.005308	0.031335	0.019769	0.004914	0.001893	0.001560	0.001833	0.000998	0.001560	0.719092	0.061349	-75451.088
140	0.130306	0.018935	0.026723	0.003604	0.006472	0.001402	0.002089	0.004797	0.007197	0.031217	0.019695	0.004896	0.002236	0.001202	0.001952	0.001819	0.001202	0.707798	0.027512	-75434.709
150	0.169860	0.020257	0.030584	0.002353	0.006334	0.002257	0.004536	0.001875	0.002166	0.033397	0.021070	0.005238	0.002824	0.001014	0.001911	0.001703	0.001014	0.492456	0.061112	-75419.677
160	0.184004	0.017086	0.036134	0.002236	0.009931	0.005045	0.002635	0.002907	0.001643	0.036382	0.022954	0.005706	0.002898	0.001471	0.001855	0.001541	0.001471	0.418998	0.025719	-75411.692
170	0.174640	0.020412	0.051703	0.004267	0.002145	0.002002	0.005702	0.007378	0.003719	0.032811	0.020701	0.005146	0.001847	0.001209	0.002244	0.001828	0.001209	0.652496	0.026867	-75430.054
